mission_id,software_version,git_commit,timestamp_utc,anonymous_session_id,trial_number,rotation_block_number,rotation_block_position,scheduled_trial_count,full_design_trial_count,scheduled_rotation_block_count,rotation_block_repetitions,use_trial_subset,condition_id,condition_order_index,varied_inner_direction_deg,center_minus_inner_direction_deg,common_global_rotation_deg,displayed_center_direction_deg,displayed_inner_direction_deg,displayed_outer_direction_deg,fixed_center_velocity_x_deg_s,fixed_center_velocity_y_deg_s,displayed_center_velocity_x_deg_s,displayed_center_velocity_y_deg_s,inner_velocity_x_deg_s,inner_velocity_y_deg_s,outer_velocity_x_deg_s,outer_velocity_y_deg_s,fixed_outer_minus_inner_x_deg_s,fixed_outer_minus_inner_y_deg_s,displayed_outer_minus_inner_x_deg_s,displayed_outer_minus_inner_y_deg_s,coherence_percent,configured_coherence_values_percent,center_signal_dot_count,inner_signal_dot_count,outer_signal_dot_count,surround_colors_swapped,center_color_rgb,inner_color_rgb,outer_color_rgb,random_seed,participant_response_absolute_deg,participant_response_center_normalized_deg,participant_response_deg,expected_response_deg,expected_response_definition,expected_retinal_deg,expected_segmentation_deg,expected_response_absolute_deg,expected_retinal_absolute_deg,expected_segmentation_absolute_deg,response_error_deg,adjustment_time_s,response_hold_event_count,response_max_hold_duration_s,response_peak_hold_speed_deg_s,response_total_hold_rotation_deg,aborted,valid,abort_stage,simulated,data_label,requested_frame_interval_s,observed_mean_frame_interval_s,observed_max_frame_interval_s,dropped_frame_count,measured_refresh_hz,screen_number,screen_selection_reason,screen_width_px,screen_height_px,window_width_px,window_height_px,physical_width_mm,physical_height_mm,viewing_distance_cm,pixels_per_degree,used_fallback_pixels_per_degree,fullscreen,eye_tracking,fixation_verified,matlab_version,psychtoolbox_version,machine_architecture
RS-MISSION-20260806-JP-TWO-GROUP-MOTION-DEMO,0.6.0,uncommitted,2026-09-17T19:59:03.305Z,ANON-20260917-145850-346,1,1,1,252,252,12,2,0,G16,4,-16,16,0,0,-16,55.3208230704367,0.5,0,0.5,0,0.5,-0.143372692879404,0.5,0.722652710905035,0,0.866025403784439,0,0.866025403784439,33,[33 55 100],3,17,83,0,[0 255 0],[255 0 0],[0 153 255],20260806,107.570675499772,107.570675499772,107.570675499772,-90,integration hypothesis: center+inner group relative to outer; not an objectively correct answer,0,90,-90,0,90,-162.429324500228,1.02292590000434,0,0,0,0,0,1,,0,NONE,0.0166810660000192,0.0166436691666604,0.0174563999898965,0,59.9482071468843,2,preferred-external-screen,1920,1080,1920,1080,598,336,60,36.2419979414704,0,1,0,0,25.2.0.3177638 (R2025b) Update 5,"3.0.19 - Flavor: Manual Install, 13-Jul-2026 13:02:04",win64
RS-MISSION-20260806-JP-TWO-GROUP-MOTION-DEMO,0.6.0,uncommitted,2026-09-17T19:59:27.431Z,ANON-20260917-145850-346,2,1,2,252,252,12,2,0,G00,1,-0,0,0,0,0,60,0.5,0,0.5,0,0.5,0,0.5,0.866025403784439,0,0.866025403784439,0,0.866025403784439,100,[33 55 100],10,50,250,0,[0 255 0],[255 0 0],[0 153 255],20260806,-80.8962429815364,-80.8962429815364,-80.8962429815364,-90,integration hypothesis: center+inner group relative to outer; not an objectively correct answer,0,NaN,-90,0,NaN,9.10375701846357,21.1768575999886,0,0,0,0,0,1,,0,NONE,0.0166810660000192,0.0166881333333246,0.0172307999891927,0,59.9482071468843,2,preferred-external-screen,1920,1080,1920,1080,598,336,60,36.2419979414704,0,1,0,0,25.2.0.3177638 (R2025b) Update 5,"3.0.19 - Flavor: Manual Install, 13-Jul-2026 13:02:04",win64
RS-MISSION-20260806-JP-TWO-GROUP-MOTION-DEMO,0.6.0,uncommitted,2026-09-17T19:59:30.573Z,ANON-20260917-145850-346,3,1,3,252,252,12,2,0,G60,7,-60,60,0,0,-60,0,0.5,0,0.5,0,0.5,-0.866025403784439,0.5,0,0,0.866025403784439,0,0.866025403784439,100,[33 55 100],10,50,250,1,[0 255 0],[0 153 255],[255 0 0],20260806,107.033452619852,107.033452619852,107.033452619852,-90,integration hypothesis: center+inner group relative to outer; not an objectively correct answer,0,90,-90,0,90,-162.966547380148,0.205103000000236,0,0,0,0,0,1,,0,NONE,0.0166810660000192,0.0166902250000324,0.0174523000023328,0,59.9482071468843,2,preferred-external-screen,1920,1080,1920,1080,598,336,60,36.2419979414704,0,1,0,0,25.2.0.3177638 (R2025b) Update 5,"3.0.19 - Flavor: Manual Install, 13-Jul-2026 13:02:04",win64
RS-MISSION-20260806-JP-TWO-GROUP-MOTION-DEMO,0.6.0,uncommitted,2026-09-17T19:59:43.671Z,ANON-20260917-145850-346,4,1,4,252,252,12,2,0,G00,1,-0,0,0,0,0,60,0.5,0,0.5,0,0.5,0,0.5,0.866025403784439,0,0.866025403784439,0,0.866025403784439,55,[33 55 100],6,28,138,1,[0 255 0],[0 153 255],[255 0 0],20260806,-104.440361699869,-104.440361699869,-104.440361699869,-90,integration hypothesis: center+inner group relative to outer; not an objectively correct answer,0,NaN,-90,0,NaN,-14.4403616998688,10.148837700006,0,0,0,0,0,1,,0,NONE,0.0166810660000192,0.0166607349999443,0.0170272999966983,0,59.9482071468843,2,preferred-external-screen,1920,1080,1920,1080,598,336,60,36.2419979414704,0,1,0,0,25.2.0.3177638 (R2025b) Update 5,"3.0.19 - Flavor: Manual Install, 13-Jul-2026 13:02:04",win64
RS-MISSION-20260806-JP-TWO-GROUP-MOTION-DEMO,0.6.0,uncommitted,2026-09-17T19:59:49.288Z,ANON-20260917-145850-346,5,1,5,252,252,12,2,0,G45,6,-45,45,0,0,-45,36.2060231130031,0.5,0,0.5,0,0.5,-0.5,0.5,0.366025403784439,0,0.866025403784439,0,0.866025403784439,100,[33 55 100],10,50,250,1,[0 255 0],[0 153 255],[255 0 0],20260806,50.1170319867182,50.1170319867182,50.1170319867182,-90,integration hypothesis: center+inner group relative to outer; not an objectively correct answer,0,90,-90,0,90,140.117031986718,2.65578499999538,2,1.51780909999798,212.137091999757,175.93367556623,0,1,,0,NONE,0.0166810660000192,0.0166196341666364,0.0169100999919465,0,59.9482071468843,2,preferred-external-screen,1920,1080,1920,1080,598,336,60,36.2419979414704,0,1,0,0,25.2.0.3177638 (R2025b) Update 5,"3.0.19 - Flavor: Manual Install, 13-Jul-2026 13:02:04",win64
RS-MISSION-20260806-JP-TWO-GROUP-MOTION-DEMO,0.6.0,uncommitted,2026-09-17T19:59:52.790Z,ANON-20260917-145850-346,6,1,6,252,252,12,2,0,G08,3,-7.5,7.5,0,0,-7.5,58.001026172846,0.5,0,0.5,0,0.5,-0.0658262487936979,0.5,0.800199154990741,0,0.866025403784439,0,0.866025403784439,33,[33 55 100],3,17,83,1,[0 255 0],[0 153 255],[255 0 0],20260806,-2.95018138719624,-2.95018138719624,-2.95018138719624,-90,integration hypothesis: center+inner group relative to outer; not an objectively correct answer,0,90,-90,0,90,87.0498186128037,0.588338799992925,0,0,0,0,0,1,,0,NONE,0.0166810660000192,0.0166554941667224,0.0170141999988118,0,59.9482071468843,2,preferred-external-screen,1920,1080,1920,1080,598,336,60,36.2419979414704,0,1,0,0,25.2.0.3177638 (R2025b) Update 5,"3.0.19 - Flavor: Manual Install, 13-Jul-2026 13:02:04",win64
RS-MISSION-20260806-JP-TWO-GROUP-MOTION-DEMO,0.6.0,uncommitted,2026-09-17T19:59:55.901Z,ANON-20260917-145850-346,7,1,7,252,252,12,2,0,G04,2,-3.75,3.75,0,0,-3.75,59.0338269375192,0.5,0,0.5,0,0.5,-0.0327717314076191,0.5,0.833253672376819,0,0.866025403784439,0,0.866025403784439,100,[33 55 100],10,50,250,0,[0 255 0],[255 0 0],[0 153 255],20260806,104.843657774857,104.843657774857,104.843657774857,-90,integration hypothesis: center+inner group relative to outer; not an objectively correct answer,0,90,-90,0,90,-165.156342225143,0.238810599999852,0,0,0,0,0,1,,0,NONE,0.0166810660000192,0.0166836583333255,0.0168973999971058,0,59.9482071468843,2,preferred-external-screen,1920,1080,1920,1080,598,336,60,36.2419979414704,0,1,0,0,25.2.0.3177638 (R2025b) Update 5,"3.0.19 - Flavor: Manual Install, 13-Jul-2026 13:02:04",win64
RS-MISSION-20260806-JP-TWO-GROUP-MOTION-DEMO,0.6.0,uncommitted,2026-09-17T20:00:02.298Z,ANON-20260917-145850-346,8,1,8,252,252,12,2,0,G30,5,-30,30,0,0,-30,49.1066053508691,0.5,0,0.5,0,0.5,-0.288675134594813,0.5,0.577350269189626,0,0.866025403784439,0,0.866025403784439,33,[33 55 100],3,17,83,1,[0 255 0],[0 153 255],[255 0 0],20260806,62.141727934291,62.141727934291,62.141727934291,-90,integration hypothesis: center+inner group relative to outer; not an objectively correct answer,0,90,-90,0,90,152.141727934291,3.49142530000245,2,1.75114079999912,240.136895999894,276.425757939231,0,1,,0,NONE,0.0166810660000192,0.0166463933333337,0.0175122999935411,0,59.9482071468843,2,preferred-external-screen,1920,1080,1920,1080,598,336,60,36.2419979414704,0,1,0,0,25.2.0.3177638 (R2025b) Update 5,"3.0.19 - Flavor: Manual Install, 13-Jul-2026 13:02:04",win64
RS-MISSION-20260806-JP-TWO-GROUP-MOTION-DEMO,0.6.0,uncommitted,2026-09-17T20:00:13.879Z,ANON-20260917-145850-346,9,1,9,252,252,12,2,0,G45,6,-45,45,0,0,-45,36.2060231130031,0.5,0,0.5,0,0.5,-0.5,0.5,0.366025403784439,0,0.866025403784439,0,0.866025403784439,33,[33 55 100],3,17,83,0,[0 255 0],[255 0 0],[0 153 255],20260806,-105.977015999444,-105.977015999444,-105.977015999444,-90,integration hypothesis: center+inner group relative to outer; not an objectively correct answer,0,90,-90,0,90,-15.9770159994436,8.64713599999959,4,3.93745669999043,300,966.10847306665,0,1,,0,NONE,0.0166810660000192,0.0166830403361951,0.0170002000086242,0,59.9482071468843,2,preferred-external-screen,1920,1080,1920,1080,598,336,60,36.2419979414704,0,1,0,0,25.2.0.3177638 (R2025b) Update 5,"3.0.19 - Flavor: Manual Install, 13-Jul-2026 13:02:04",win64
RS-MISSION-20260806-JP-TWO-GROUP-MOTION-DEMO,0.6.0,uncommitted,2026-09-17T20:00:25.385Z,ANON-20260917-145850-346,10,1,10,252,252,12,2,0,G08,3,-7.5,7.5,0,0,-7.5,58.001026172846,0.5,0,0.5,0,0.5,-0.0658262487936979,0.5,0.800199154990741,0,0.866025403784439,0,0.866025403784439,100,[33 55 100],10,50,250,1,[0 255 0],[0 153 255],[255 0 0],20260806,NaN,NaN,NaN,-90,integration hypothesis: center+inner group relative to outer; not an objectively correct answer,0,90,-90,0,90,NaN,8.71819540001161,0,0,0,0,1,0,response,0,NONE,0.0166810660000192,0.0166893783333459,0.0174076999974204,0,59.9482071468843,2,preferred-external-screen,1920,1080,1920,1080,598,336,60,36.2419979414704,0,1,0,0,25.2.0.3177638 (R2025b) Update 5,"3.0.19 - Flavor: Manual Install, 13-Jul-2026 13:02:04",win64
