mission_id,software_version,git_commit,timestamp_utc,anonymous_session_id,trial_number,rotation_block_number,rotation_block_position,scheduled_trial_count,full_design_trial_count,scheduled_rotation_block_count,rotation_block_repetitions,use_trial_subset,condition_id,condition_order_index,varied_inner_direction_deg,center_minus_inner_direction_deg,common_global_rotation_deg,displayed_center_direction_deg,displayed_inner_direction_deg,displayed_outer_direction_deg,fixed_center_velocity_x_deg_s,fixed_center_velocity_y_deg_s,displayed_center_velocity_x_deg_s,displayed_center_velocity_y_deg_s,inner_velocity_x_deg_s,inner_velocity_y_deg_s,outer_velocity_x_deg_s,outer_velocity_y_deg_s,fixed_outer_minus_inner_x_deg_s,fixed_outer_minus_inner_y_deg_s,displayed_outer_minus_inner_x_deg_s,displayed_outer_minus_inner_y_deg_s,coherence_values_percent,surround_colors_swapped,center_color_rgb,inner_color_rgb,outer_color_rgb,random_seed,participant_response_absolute_deg,participant_response_center_normalized_deg,participant_response_deg,expected_response_deg,expected_response_definition,expected_retinal_deg,expected_segmentation_deg,expected_response_absolute_deg,expected_retinal_absolute_deg,expected_segmentation_absolute_deg,response_error_deg,adjustment_time_s,response_hold_event_count,response_max_hold_duration_s,response_peak_hold_speed_deg_s,response_total_hold_rotation_deg,aborted,valid,abort_stage,simulated,data_label,requested_frame_interval_s,observed_mean_frame_interval_s,observed_max_frame_interval_s,dropped_frame_count,measured_refresh_hz,screen_number,screen_selection_reason,screen_width_px,screen_height_px,window_width_px,window_height_px,physical_width_mm,physical_height_mm,viewing_distance_cm,pixels_per_degree,used_fallback_pixels_per_degree,fullscreen,eye_tracking,fixation_verified,matlab_version,psychtoolbox_version,machine_architecture
RS-MISSION-20260806-JP-TWO-GROUP-MOTION-DEMO,0.6.0,uncommitted,2026-08-26T16:40:27.209Z,ANON-20260826-114013-843,1,1,1,128,128,16,2,0,G10,4,-10,10,270,-90,-100,-32.7324072096124,0.5,0,0,-0.5,-0.0881634903542325,-0.5,0.777861913430206,-0.5,0,0.866025403784439,0.866025403784439,0,2,0,[0 255 0],[255 0 0],[0 153 255],20260806,-122.547579014091,-32.5475790140914,-32.5475790140914,-90,integration hypothesis: center+inner group relative to outer; not an objectively correct answer,0,90,-180,-90,0,57.4524209859086,2.10126189980656,0,0,0,0,0,1,,0,NONE,0.0166964659979567,0.0166832267113173,0.0178483000490814,0,59.8929138730543,2,preferred-external-screen,1920,1080,1100,800,598,336,60,36.2419979414704,0,0,0,0,25.1.0.2943329 (R2025a),"3.0.19 - Flavor: Manual Install, 03-Jun-2025 15:56:55",win64
RS-MISSION-20260806-JP-TWO-GROUP-MOTION-DEMO,0.6.0,uncommitted,2026-08-26T16:40:39.014Z,ANON-20260826-114013-843,2,1,2,128,128,16,2,0,G00,1,-0,0,270,-90,-90,-30,0.5,0,0,-0.5,0,-0.5,0.866025403784439,-0.5,0,0.866025403784439,0.866025403784439,0,2,1,[0 255 0],[0 153 255],[255 0 0],20260806,-92.1745750735878,-2.17457507358779,-2.17457507358779,-90,integration hypothesis: center+inner group relative to outer; not an objectively correct answer,0,NaN,-180,-90,NaN,87.8254249264122,0.849996600067243,0,0,0,0,0,1,,0,NONE,0.0166964659979567,0.0166705388335201,0.0177901000715792,0,59.8929138730543,2,preferred-external-screen,1920,1080,1100,800,598,336,60,36.2419979414704,0,0,0,0,25.1.0.2943329 (R2025a),"3.0.19 - Flavor: Manual Install, 03-Jun-2025 15:56:55",win64
RS-MISSION-20260806-JP-TWO-GROUP-MOTION-DEMO,0.6.0,uncommitted,2026-08-26T16:40:51.109Z,ANON-20260826-114013-843,3,1,3,128,128,16,2,0,G03,2,-3,3,270,-90,-93,-30.7680711934123,0.5,0,0,-0.5,-0.0262038896415206,-0.5,0.839821514142918,-0.5,0,0.866025403784439,0.866025403784439,0,2,1,[0 255 0],[0 153 255],[255 0 0],20260806,56.1704557833822,146.170455783382,146.170455783382,-90,integration hypothesis: center+inner group relative to outer; not an objectively correct answer,0,90,-180,-90,0,-123.829544216618,1.23397210007533,0,0,0,0,0,1,,0,NONE,0.0166964659979567,0.0166834721202575,0.0182837001048028,0,59.8929138730543,2,preferred-external-screen,1920,1080,1100,800,598,336,60,36.2419979414704,0,0,0,0,25.1.0.2943329 (R2025a),"3.0.19 - Flavor: Manual Install, 03-Jun-2025 15:56:55",win64
RS-MISSION-20260806-JP-TWO-GROUP-MOTION-DEMO,0.6.0,uncommitted,2026-08-26T16:41:03.672Z,ANON-20260826-114013-843,4,1,4,128,128,16,2,0,G30,7,-30,30,270,-90,-120,-40.8933946491309,0.5,0,0,-0.5,-0.288675134594813,-0.5,0.577350269189626,-0.5,0,0.866025403784439,0.866025403784439,0,2,1,[0 255 0],[0 153 255],[255 0 0],20260806,-158.947642319067,-68.9476423190666,-68.9476423190666,-90,integration hypothesis: center+inner group relative to outer; not an objectively correct answer,0,90,-180,-90,0,21.0523576809334,1.56819500005804,0,0,0,0,0,1,,0,NONE,0.0166964659979567,0.0166836090149585,0.0189079998526722,0,59.8929138730543,2,preferred-external-screen,1920,1080,1100,800,598,336,60,36.2419979414704,0,0,0,0,25.1.0.2943329 (R2025a),"3.0.19 - Flavor: Manual Install, 03-Jun-2025 15:56:55",win64
RS-MISSION-20260806-JP-TWO-GROUP-MOTION-DEMO,0.6.0,uncommitted,2026-08-26T16:43:08.475Z,ANON-20260826-114013-843,5,1,5,128,128,16,2,0,G20,6,-20,20,270,-90,-110,-36.16497766807,0.5,0,0,-0.5,-0.181985117133101,-0.5,0.684040286651337,-0.5,0,0.866025403784439,0.866025403784439,0,2,1,[0 255 0],[0 153 255],[255 0 0],20260806,NaN,NaN,NaN,-90,integration hypothesis: center+inner group relative to outer; not an objectively correct answer,0,90,-180,-90,0,NaN,114.01615190017,0,0,0,0,1,0,response,0,NONE,0.0166964659979567,0.0166852789649581,0.0177991001401097,0,59.8929138730543,2,preferred-external-screen,1920,1080,1100,800,598,336,60,36.2419979414704,0,0,0,0,25.1.0.2943329 (R2025a),"3.0.19 - Flavor: Manual Install, 03-Jun-2025 15:56:55",win64
